"Name","Alerts","WWN","Node Affinity","Logical Used","Provisioned","Host Mappings","Storage Protocol","Protection Policy","Performance Policy","Volume Group"
"RAC_DATA25","","naa.68ccf098000bd314bd82485c608d8d0a","System select at attach","355.6 GB","500.0 GB","0","None","","Medium",""
"PST1_CIM_DATA-006","","naa.68ccf0980049befb4985d549e880447c","System select Node A","351.0 GB","500.0 GB","1","SCSI","","Medium","Pst1CimRacVolGroup"
"PST1_CIM_DATA-004","","naa.68ccf09800e1b9542c2023cd11a5c830","System select Node A","351.0 GB","500.0 GB","1","SCSI","","Medium","Pst1CimRacVolGroup"
"PST1_CIM_DATA-008","","naa.68ccf0980021f4b714f3b11f511027cf","System select Node B","351.0 GB","500.0 GB","1","SCSI","","Medium","Pst1CimRacVolGroup"
"PST1_CIM_DATA-005","","naa.68ccf09800bd275e1caf5f06150c6cd1","System select Node A","351.0 GB","500.0 GB","1","SCSI","","Medium","Pst1CimRacVolGroup"
"PST1_CIM_DATA-007","","naa.68ccf098000bebbca6fefdd8a03cc354","System select Node B","351.0 GB","500.0 GB","1","SCSI","","Medium","Pst1CimRacVolGroup"
"CIMDB_DATA002","","naa.68ccf09800b200e6e731b46736cd8bd8","System select at attach","220.6 GB","500.0 GB","0","None","","Medium","CIMDB_RAC"
"CIMDB_DATA001","","naa.68ccf09800f21e076fad338fae53001f","System select at attach","220.6 GB","500.0 GB","0","None","","Medium","CIMDB_RAC"
"P1000_Vol_AMDEPYC_LUN001","","naa.68ccf098005503099216d712e70f0e9e","System select Node A","205.1 GB","5.0 TB","1","SCSI","","Medium",""
"PST1_QMS_DATA-002","","naa.68ccf09800d34f6ec19f00cccd899756","System select Node A","201.5 GB","500.0 GB","1","SCSI","","Medium","Pst1QmsRacVolGroup"
"PST1_QMS_DATA-001","","naa.68ccf09800d5b8ce97f9ba043008ebdf","System select Node B","201.5 GB","500.0 GB","1","SCSI","","Medium","Pst1QmsRacVolGroup"
"PST1_CIM_DATA-012","","naa.68ccf098007aa1bf72d353083c4f3707","System select Node A","194.3 GB","500.0 GB","1","SCSI","","Medium","Pst1CimRacVolGroup"
"PST1_CIM_DATA-011","","naa.68ccf098008d5c92a63bba35ec5982e4","System select Node B","194.3 GB","500.0 GB","1","SCSI","","Medium","Pst1CimRacVolGroup"
"PST1_CIM_DATA-009","","naa.68ccf09800c2c2abad35ce0d023c396c","System select Node B","194.3 GB","500.0 GB","1","SCSI","","Medium","Pst1CimRacVolGroup"
"PST1_CIM_DATA-010","","naa.68ccf09800c862832bf88b35ddd4144c","System select Node A","194.3 GB","500.0 GB","1","SCSI","","Medium","Pst1CimRacVolGroup"
"P1000_Vol_Prod_ISO","","naa.68ccf09800ccfd73bf63d5b9951fa236","System select Node B","125.1 GB","200.0 GB","2","SCSI","","Medium",""
"PST1_CIM_FRA-001","","naa.68ccf09800f442181b9dfa05f90a3223","System select Node A","107.6 GB","600.0 GB","1","SCSI","","Medium","Pst1CimRacVolGroup"
"QMSRAC_FRA001","","naa.68ccf0980031e221350f2752f1daf537","System select Node B","20.1 GB","600.0 GB","1","SCSI","","Medium",""
"PST1_QMS_FRA-001","","naa.68ccf09800857eb6409e8886c94e7850","System select Node A","11.6 GB","600.0 GB","1","SCSI","","Medium","Pst1QmsRacVolGroup"
"test-huxiaokai02","","naa.68ccf098009e92a52d8b6953bb3233c1","System select Node B","10.1 GB","300.0 GB","2","SCSI","","Medium",""
"test-huxiaokai03","","naa.68ccf098006a9fc21b267e6f04742f8a","System select Node A","10.1 GB","250.0 GB","2","SCSI","","Medium",""
